,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
153,1269336,MM22/4104,NJ TRANSIT RAIL OPERATIONS,FREIGHT,80.0,,E,1.0,2.0,,U
154,1269362,POAY-21,KEOLIS RAILROAD,FREIGHT,,,,3.0,73.0,13.0,U
155,1269408,UNKNOWN,UNKNOWN,FREIGHT,,,,2.0,,,U
156,1269426,608,METRO LINK,PASSENGER,35.0,32.0,E,1.0,6.0,,N
157,1269431,A51A823,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,N,1.0,18.0,18.0,N
158,1269454,NONE,CSX RAILROAD,OTHER,,,,,,,U
159,1269462,AE32539,AMTRAK,OTHER,,,,,,,U
160,1269462,96358,AMTRAK,PASSENGER,,,,,,,U
161,1269494,LRV308,METRO RAIL HOUSTON,PASSENGER,,,,,2.0,0.0,U
162,1269498,CP8938,CANADIAN PACIFIC,FREIGHT,,,E,1.0,100.0,0.0,N
163,1269517,A580124,AMTRAK,PASSENGER,,,E,,,,U
164,1269529,546 OF THE 24TH,AMTRAK,PASSENGER,,,N,1.0,4.0,,U
165,1269531,153,LONG ISLAND RAILROAD,FREIGHT,,,,,1.0,1.0,U
166,1269596,826,GCRTA,LIGHT RAIL,,,E,,,,N
167,1269596,844,GCRTA,LIGHT RAIL,,,W,,,,N
168,1269618,PROX23115,CSX RAILROAD,RAIL CAR,,,,,,,U
169,1269622,1556 # 4 UTICA TO WOODLAWN,NYC TRANSIT,SUBWAY,,,,,10.0,,N
170,1269631,60C-24,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,S,3.0,96.0,,U
171,1269632,P09826,AMTRAK,PASSENGER,,70.0,,,,,U
172,1269644,DL02,NORFOLK SOUTHERN RAILROAD,FREIGHT,20.0,4.0,,3.0,27.0,12.0,N
173,1269649,MALPR26,UNION PACIFIC RAILROAD,FREIGHT,,,,,,5.0,U
174,1269668,MALPR26,UNION PACIFIC RAILROAD,FREIGHT,,,,,,5.0,U
