,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1623,1269123,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,AMIMAL WASTE,YES,0.0,UNKNOWN AMOUNT
1624,1269124,ODS,000000-00-0,,10.0,GALLON(S),OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1625,1269125,NCC,000000-00-0,,4.0,BARREL(S),PRODUCTION WASTE WATER,NO,,
1626,1269126,OIL,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: CRUDE,NO,,
1627,1269127,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1628,1269129,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1629,1269134,OLB,000000-00-0,,10.0,GALLON(S),"OIL, MISC: LUBRICATING",YES,5.0,GALLON(S)
1630,1269136,AMA,007664-41-7,,0.0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1631,1269137,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1632,1269139,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,SEWAGE,YES,0.0,UNKNOWN AMOUNT
1633,1269142,OMT,000000-00-0,,2.0,OUNCE(S),"OIL, MISC: MOTOR",YES,2.0,OUNCE(S)
1634,1269143,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1635,1269145,OHY,000000-00-0,,20.0,GALLON(S),HYDRAULIC OIL,NO,,
1636,1269146,HCN,000074-90-8,,0.0,UNKNOWN AMOUNT,HYDROGEN CYANIDE,NO,,
1637,1269147,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1638,1269148,ODS,000000-00-0,,100.0,GALLON(S),OIL: DIESEL,NO,,
1639,1269149,HCN,000074-90-8,,0.0,UNKNOWN AMOUNT,HYDROGEN CYANIDE,NO,,
1640,1269151,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0.0,UNKNOWN AMOUNT
1641,1269152,ODS,000000-00-0,,100.0,GALLON(S),OIL: DIESEL,NO,,
1642,1269153,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1643,1269154,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1644,1269155,GAS,000000-00-0,,1.0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1.0,GALLON(S)
